Year,Month,Day,ProtectionUnit,TotalFires,Acres,reportdate
2004,4,20,MID,1.0,1.0,2004-04-20
2004,4,20,DAS,1.0,0.1,2004-04-20
2004,4,20,FAS,1.0,0.1,2004-04-20
2004,4,20,MSS,1.0,0.8,2004-04-20
2004,4,27,MID,1.0,0.1,2004-04-27
2004,4,27,DAS,1.0,0.1,2004-04-27
2004,4,27,FAS,1.0,0.1,2004-04-27
2004,4,27,MSS,6.0,26.2,2004-04-27
2004,4,28,MID,1.0,1.0,2004-04-28
2004,4,28,DAS,2.0,0.2,2004-04-28
2004,4,28,FAS,2.0,0.2,2004-04-28
2004,4,28,MSS,6.0,26.2,2004-04-28
2004,4,30,MID,2.0,1.1,2004-04-30
2004,4,30,DAS,2.0,0.2,2004-04-30
2004,4,30,FAS,2.0,0.2,2004-04-30
2004,4,30,MSS,6.0,26.2,2004-04-30
2004,5,3,MID,2.0,1.1,2004-05-03
2004,5,3,CRS,1.0,0.1,2004-05-03
2004,5,3,DAS,3.0,0.3,2004-05-03
2004,5,3,FAS,5.0,0.9,2004-05-03
2004,5,3,MSS,9.0,27.9,2004-05-03
2004,5,4,MID,2.0,1.1,2004-05-04
2004,5,4,CRS,1.0,0.1,2004-05-04
2004,5,4,DAS,5.0,0.6,2004-05-04
2004,5,4,FAS,9.0,2.4,2004-05-04
2004,5,4,MSS,10.0,28.0,2004-05-04
2004,5,5,MID,2.0,1.1,2004-05-05
2004,5,5,UYD,1.0,0.1,2004-05-05
2004,5,5,CRS,1.0,0.1,2004-05-05
2004,5,5,DAS,5.0,0.6,2004-05-05
2004,5,5,FAS,10.0,2.7,2004-05-05
2004,5,5,KKS,1.0,0.5,2004-05-05
2004,5,5,MSS,13.0,38.4,2004-05-05
2004,5,6,MID,3.0,1.2,2004-05-06
2004,5,6,UYD,1.0,0.1,2004-05-06
2004,5,6,CRS,1.0,0.1,2004-05-06
2004,5,6,DAS,5.0,0.6,2004-05-06
2004,5,6,FAS,11.0,3.7,2004-05-06
2004,5,6,KKS,1.0,0.5,2004-05-06
2004,5,6,MSS,15.0,38.8,2004-05-06
2004,5,7,MID,2.0,1.1,2004-05-07
2004,5,7,UYD,1.0,0.1,2004-05-07
2004,5,7,CRS,1.0,0.1,2004-05-07
2004,5,7,DAS,5.0,0.6,2004-05-07
2004,5,7,FAS,11.0,3.7,2004-05-07
2004,5,7,KKS,4.0,1.0,2004-05-07
2004,5,7,MSS,16.0,40.7,2004-05-07
2004,5,8,MID,2.0,1.1,2004-05-08
2004,5,8,UYD,1.0,0.1,2004-05-08
2004,5,8,CRS,1.0,0.1,2004-05-08
2004,5,8,DAS,5.0,0.6,2004-05-08
2004,5,8,FAS,12.0,3.8,2004-05-08
2004,5,8,KKS,5.0,2.0,2004-05-08
2004,5,8,MSS,19.0,42.0,2004-05-08
2004,5,10,MID,2.0,1.1,2004-05-10
2004,5,10,UYD,1.0,0.1,2004-05-10
2004,5,10,CRS,1.0,0.1,2004-05-10
2004,5,10,DAS,5.0,0.6,2004-05-10
2004,5,10,FAS,13.0,4.3,2004-05-10
2004,5,10,KKS,9.0,4.8,2004-05-10
2004,5,10,MSS,22.0,42.3,2004-05-10
2004,5,11,MID,2.0,1.1,2004-05-11
2004,5,11,UYD,1.0,0.1,2004-05-11
2004,5,11,CRS,1.0,0.1,2004-05-11
2004,5,11,DAS,5.0,0.6,2004-05-11
2004,5,11,FAS,13.0,4.3,2004-05-11
2004,5,11,KKS,10.0,4.9,2004-05-11
2004,5,11,FAS,13.0,4.3,2004-05-11
2004,5,12,MID,2.0,1.1,2004-05-12
2004,5,12,UYD,1.0,0.1,2004-05-12
2004,5,12,CRS,1.0,0.1,2004-05-12
2004,5,12,DAS,5.0,0.6,2004-05-12
2004,5,12,FAS,13.0,4.3,2004-05-12
2004,5,12,KKS,10.0,4.9,2004-05-12
2004,5,12,MSS,22.0,42.3,2004-05-12
2004,5,13,MID,2.0,0.1,2004-05-13
2004,5,13,UYD,1.0,0.1,2004-05-13
2004,5,13,CRS,2.0,0.2,2004-05-13
2004,5,13,DAS,5.0,0.6,2004-05-13
