,reportdate,PSA_NAME,NAT_CODE,Acres
0,2025-04-22,Central Panhandle,AK16,0.2
1,2025-04-22,Kenai Peninsula,AK14,1.4100000000000001
2,2025-04-22,Matanuska Valley and Anchorage,AK13,3.2100000000000004
3,2025-04-22,Northern Panhandle,AK15,0.30000000000000004
4,2025-04-22,Tanana Valley-West,AK01W,0.21000000000000002
5,2025-04-23,Central Panhandle,AK16,0.2
6,2025-04-23,Kenai Peninsula,AK14,1.41
7,2025-04-23,Matanuska Valley and Anchorage,AK13,3.21
8,2025-04-23,Northern Panhandle,AK15,0.30000000000000004
9,2025-04-23,Tanana Valley-West,AK01W,0.21000000000000002
10,2025-04-24,Central Panhandle,AK16,0.2
11,2025-04-24,Kenai Peninsula,AK14,1.4100000000000001
12,2025-04-24,Matanuska Valley and Anchorage,AK13,3.31
13,2025-04-24,Northern Panhandle,AK15,0.30000000000000004
14,2025-04-24,Tanana Valley-West,AK01W,0.22
15,2025-04-25,Central Panhandle,AK16,0.2
16,2025-04-25,Kenai Peninsula,AK14,1.4100000000000001
17,2025-04-25,Matanuska Valley and Anchorage,AK13,3.6100000000000003
18,2025-04-25,Northern Panhandle,AK15,0.30000000000000004
19,2025-04-25,Tanana Valley-West,AK01W,0.22000000000000003
20,2025-04-28,Central Panhandle,AK16,0.2
21,2025-04-28,Kenai Peninsula,AK14,1.4100000000000001
22,2025-04-28,Matanuska Valley and Anchorage,AK13,3.91
23,2025-04-28,Northern Panhandle,AK15,0.30000000000000004
24,2025-04-28,Tanana Valley-West,AK01W,0.22
25,2025-04-29,Central Panhandle,AK16,0.2
26,2025-04-29,Kenai Peninsula,AK14,1.4100000000000001
27,2025-04-29,Matanuska Valley and Anchorage,AK13,3.91
28,2025-04-29,Northern Panhandle,AK15,0.30000000000000004
29,2025-04-29,Tanana Valley-West,AK01W,0.32
30,2025-04-30,Central Panhandle,AK16,0.2
31,2025-04-30,Kenai Peninsula,AK14,1.4100000000000001
32,2025-04-30,Matanuska Valley and Anchorage,AK13,3.91
33,2025-04-30,Northern Panhandle,AK15,0.30000000000000004
34,2025-04-30,Tanana Valley-West,AK01W,0.33
35,2025-05-01,Central Panhandle,AK16,0.2
36,2025-05-01,Kenai Peninsula,AK14,1.4100000000000001
37,2025-05-01,Matanuska Valley and Anchorage,AK13,3.91
38,2025-05-01,Northern Panhandle,AK15,0.30000000000000004
39,2025-05-01,Tanana Valley-West,AK01W,0.33
40,2025-05-01,Upper Yukon Valley,AK02,0.2
41,2025-05-02,Central Panhandle,AK16,0.2
42,2025-05-02,Kenai Peninsula,AK14,1.4100000000000001
43,2025-05-02,Matanuska Valley and Anchorage,AK13,3.8600000000000003
44,2025-05-02,Northern Panhandle,AK15,0.30000000000000004
45,2025-05-02,Tanana Valley-West,AK01W,0.33
46,2025-05-02,Upper Yukon Valley,AK02,0.2
47,2025-05-03,Central Panhandle,AK16,0.2
48,2025-05-03,Kenai Peninsula,AK14,1.4100000000000001
49,2025-05-03,Matanuska Valley and Anchorage,AK13,3.9600000000000004
50,2025-05-03,Northern Panhandle,AK15,0.30000000000000004
51,2025-05-03,Tanana Valley-West,AK01W,0.33
52,2025-05-03,Upper Yukon Valley,AK02,0.2
53,2025-05-04,Central Panhandle,AK16,0.2
54,2025-05-04,Kenai Peninsula,AK14,1.51
55,2025-05-04,Matanuska Valley and Anchorage,AK13,3.96
56,2025-05-04,Northern Panhandle,AK15,0.30000000000000004
57,2025-05-04,Tanana Valley-West,AK01W,0.15000000000000002
58,2025-05-04,Upper Yukon Valley,AK02,0.2
59,2025-05-05,Central Panhandle,AK16,0.2
60,2025-05-05,Copper River Basin,AK12,0.1
61,2025-05-05,Kenai Peninsula,AK14,1.52
62,2025-05-05,Matanuska Valley and Anchorage,AK13,3.96
63,2025-05-05,Northern Panhandle,AK15,0.30000000000000004
64,2025-05-05,Tanana Valley-West,AK01W,0.15
65,2025-05-05,Upper Yukon Valley,AK02,0.2
66,2025-05-06,Central Panhandle,AK16,0.2
67,2025-05-06,Copper River Basin,AK12,0.1
68,2025-05-06,Kenai Peninsula,AK14,1.52
69,2025-05-06,Matanuska Valley and Anchorage,AK13,3.9600000000000004
70,2025-05-06,Northern Panhandle,AK15,0.30000000000000004
71,2025-05-06,Tanana Valley-West,AK01W,0.6000000000000001
72,2025-05-06,Upper Yukon Valley,AK02,0.2
73,2025-05-07,Central Panhandle,AK16,0.2
74,2025-05-07,Copper River Basin,AK12,0.1
75,2025-05-07,Kenai Peninsula,AK14,1.52
76,2025-05-07,Matanuska Valley and Anchorage,AK13,3.96
77,2025-05-07,Northern Panhandle,AK15,0.30000000000000004
78,2025-05-07,Tanana Valley-West,AK01W,0.7000000000000001
79,2025-05-07,Upper Yukon Valley,AK02,0.2
80,2025-05-08,Central Panhandle,AK16,0.2
81,2025-05-08,Copper River Basin,AK12,0.1
82,2025-05-08,Kenai Peninsula,AK14,1.52
83,2025-05-08,Matanuska Valley and Anchorage,AK13,3.96
84,2025-05-08,Northern Panhandle,AK15,0.30000000000000004
85,2025-05-08,Tanana Valley-West,AK01W,0.62
86,2025-05-08,Upper Yukon Valley,AK02,0.2
87,2025-05-12,Central Panhandle,AK16,0.2
88,2025-05-12,Copper River Basin,AK12,0.1
89,2025-05-12,Kenai Peninsula,AK14,2.32
90,2025-05-12,Matanuska Valley and Anchorage,AK13,3.9600000000000004
91,2025-05-12,Northern Panhandle,AK15,0.30000000000000004
92,2025-05-12,Tanana Valley-West,AK01W,1.3
93,2025-05-12,Upper Yukon Valley,AK02,0.8600000000000001
94,2025-05-13,Central Panhandle,AK16,0.2
95,2025-05-13,Copper River Basin,AK12,0.1
96,2025-05-13,Kenai Peninsula,AK14,2.32
97,2025-05-13,Matanuska Valley and Anchorage,AK13,3.96
98,2025-05-13,Northern Panhandle,AK15,0.30000000000000004
99,2025-05-13,Tanana Valley-West,AK01W,1.4000000000000001
100,2025-05-13,Upper Yukon Valley,AK02,0.8600000000000001
101,2025-05-15,Central Panhandle,AK16,0.2
102,2025-05-15,Copper River Basin,AK12,0.1
103,2025-05-15,Kenai Peninsula,AK14,2.62
104,2025-05-15,Matanuska Valley and Anchorage,AK13,4.0600000000000005
