,reportdate,Protecting Office,Protecting Office Label,Acres
0,2025-04-22,Delta Area,DAS,0.1
1,2025-04-22,Kenai-Kodiak Area,KKS,1.4100000000000001
2,2025-04-22,Mat-Su Area,MSS,3.2100000000000004
3,2025-04-22,Military Zone,MID,0.11
4,2025-04-22,Tongass N.F.,TNF,0.5
5,2025-04-23,Delta Area,DAS,0.1
6,2025-04-23,Kenai-Kodiak Area,KKS,1.41
7,2025-04-23,Mat-Su Area,MSS,3.21
8,2025-04-23,Military Zone,MID,0.11
9,2025-04-23,Tongass N.F.,TNF,0.5
10,2025-04-24,Delta Area,DAS,0.1
11,2025-04-24,Kenai-Kodiak Area,KKS,1.4100000000000001
12,2025-04-24,Mat-Su Area,MSS,3.31
13,2025-04-24,Military Zone,MID,0.12000000000000001
14,2025-04-24,Tongass N.F.,TNF,0.5
15,2025-04-25,Delta Area,DAS,0.1
16,2025-04-25,Kenai-Kodiak Area,KKS,1.4100000000000001
17,2025-04-25,Mat-Su Area,MSS,3.6100000000000003
18,2025-04-25,Military Zone,MID,0.12000000000000001
19,2025-04-25,Tongass N.F.,TNF,0.5
20,2025-04-28,Delta Area,DAS,0.1
21,2025-04-28,Kenai-Kodiak Area,KKS,1.4100000000000001
22,2025-04-28,Mat-Su Area,MSS,3.91
23,2025-04-28,Military Zone,MID,0.12000000000000001
24,2025-04-28,Tongass N.F.,TNF,0.5
25,2025-04-29,Delta Area,DAS,0.1
26,2025-04-29,Kenai-Kodiak Area,KKS,1.4100000000000001
27,2025-04-29,Mat-Su Area,MSS,3.91
28,2025-04-29,Military Zone,MID,0.22000000000000003
29,2025-04-29,Tongass N.F.,TNF,0.5
30,2025-04-30,Delta Area,DAS,0.1
31,2025-04-30,Kenai-Kodiak Area,KKS,1.4100000000000001
32,2025-04-30,Mat-Su Area,MSS,3.91
33,2025-04-30,Military Zone,MID,0.23
34,2025-04-30,Tongass N.F.,TNF,0.5
35,2025-05-01,Delta Area,DAS,0.1
36,2025-05-01,Kenai-Kodiak Area,KKS,1.4100000000000001
37,2025-05-01,Mat-Su Area,MSS,3.91
38,2025-05-01,Military Zone,MID,0.23
39,2025-05-01,Tongass N.F.,TNF,0.5
40,2025-05-01,Upper Yukon Zone,UYD,0.2
41,2025-05-02,Delta Area,DAS,0.1
42,2025-05-02,Kenai-Kodiak Area,KKS,1.4100000000000001
43,2025-05-02,Mat-Su Area,MSS,3.86
44,2025-05-02,Military Zone,MID,0.23
45,2025-05-02,Tongass N.F.,TNF,0.5
46,2025-05-02,Upper Yukon Zone,UYD,0.2
47,2025-05-03,Delta Area,DAS,0.1
