reportdate,Acres
2025-04-22,5.3
2025-04-23,5.3
2025-04-24,5.4
2025-04-25,5.7
2025-04-28,6.0
2025-04-29,6.1
2025-04-30,6.2
2025-05-01,6.4
2025-05-02,6.3
2025-05-03,6.4
2025-05-04,6.3
2025-05-05,6.4
2025-05-06,6.9
2025-05-07,7.0
2025-05-08,6.9
2025-05-12,9.0
2025-05-13,9.1
2025-05-15,9.9
2025-05-16,10.0
2025-05-19,36.3
2025-05-20,36.3
2025-05-21,36.5
2025-05-22,36.5
2025-05-23,36.6
2025-05-24,37.7
2025-05-25,639.6
2025-05-27,639.5
2025-05-28,674.5
2025-05-29,1082.8
2025-05-30,1082.9
2025-05-31,1082.9
2025-06-01,1082.9
2025-06-02,1082.9
2025-06-04,1085.2
2025-06-05,1085.6
2025-06-06,1085.6
2025-06-07,1094.9
2025-06-08,1094.9
2025-06-09,1094.7
2025-06-10,1094.8
2025-06-11,1095.0
2025-06-12,1096.7
2025-06-13,1096.8
2025-06-14,1131.9
2025-06-15,1231.7
2025-06-17,3433.8
2025-06-18,15478.3
2025-06-19,20906.8
2025-06-20,58838.7
2025-06-21,99107.7
2025-06-22,184522.3
2025-06-23,232792.3
2025-06-24,247681.4
2025-06-25,266830.4
2025-06-26,291150.1
2025-06-27,308214.2
2025-06-28,330255.4
2025-06-29,340648.7
2025-06-30,345581.4
2025-07-01,348018.4
2025-07-02,354641.3
2025-07-03,375182.4
2025-07-04,410166.4
2025-07-05,438722.8
2025-07-06,516439.7
2025-07-08,589068.2
2025-07-10,676204.5
2025-07-11,701518.7
2025-07-12,737529.7
2025-07-13,797734.2
2025-07-14,845549.5
2025-07-15,871392.0
2025-07-16,870829.1
2025-07-17,882912.3
2025-07-18,885594.0
2025-07-19,896085.9
2025-07-20,902841.6
2025-07-21,912039.6
2025-07-22,957638.0
2025-07-23,958362.3
2025-07-24,958852.6
2025-07-25,958886.7
2025-07-26,962457.0
2025-07-27,968611.8
