# This is a copy of the file produced by the Alaska Interagency Coordination Center (AICC)
# Chris Waigl, cwaigl@alaska.edu, July 2025
ID,FireSeason,Month,Day,SitReportDate,ProtectionUnit,NewFires,OutFires,ActiveFires,TotalFires,TotalAcres
4,2004,4,20,20040420,MID,1,0,1,1,1
5,2004,4,20,20040420,DAS,0,0,0,1,0.1
6,2004,4,20,20040420,FAS,0,0,0,1,0.1
7,2004,4,20,20040420,MSS,0,0,0,1,0.8
8,2004,4,27,20040427,MID,0,0,0,1,0.1
9,2004,4,27,20040427,DAS,0,0,0,1,0.1
10,2004,4,27,20040427,FAS,0,0,0,1,0.1
11,2004,4,27,20040427,MSS,3,5,0,6,26.2
12,2004,4,28,20040428,MID,0,1,0,1,1
13,2004,4,28,20040428,DAS,1,0,1,2,0.2
14,2004,4,28,20040428,FAS,1,0,1,2,0.2
15,2004,4,28,20040428,MSS,0,0,0,6,26.2
16,2004,4,30,20040430,MID,0,0,1,2,1.1
17,2004,4,30,20040430,DAS,0,0,1,2,0.2
18,2004,4,30,20040430,FAS,0,0,1,2,0.2
19,2004,4,30,20040430,MSS,0,0,0,6,26.2
20,2004,5,3,20040503,MID,0,0,1,2,1.1
21,2004,5,3,20040503,CRS,0,1,0,1,0.1
22,2004,5,3,20040503,DAS,0,1,1,3,0.3
23,2004,5,3,20040503,FAS,2,2,2,5,0.9
24,2004,5,3,20040503,MSS,0,3,0,9,27.9
25,2004,5,4,20040504,MID,0,0,1,2,1.1
26,2004,5,4,20040504,CRS,0,0,0,1,0.1
27,2004,5,4,20040504,DAS,2,2,1,5,0.6
28,2004,5,4,20040504,FAS,0,0,0,9,2.4
29,2004,5,4,20040504,MSS,0,0,0,10,28
30,2004,5,5,20040505,MID,0,0,1,2,1.1
31,2004,5,5,20040505,UYD,1,0,1,1,0.1
32,2004,5,5,20040505,CRS,0,0,0,1,0.1
33,2004,5,5,20040505,DAS,1,0,1,5,0.6
34,2004,5,5,20040505,FAS,1,3,4,10,2.7
35,2004,5,5,20040505,KKS,1,0,1,1,0.5
36,2004,5,5,20040505,MSS,3,1,3,13,38.4
37,2004,5,6,20040506,MID,0,1,1,3,1.2
38,2004,5,6,20040506,UYD,0,1,0,1,0.1
39,2004,5,6,20040506,CRS,0,0,0,1,0.1
40,2004,5,6,20040506,DAS,0,0,1,5,0.6
41,2004,5,6,20040506,FAS,1,0,5,11,3.7
42,2004,5,6,20040506,KKS,0,0,1,1,0.5
43,2004,5,6,20040506,MSS,2,0,5,15,38.8
44,2004,5,7,20040507,MID,0,0,1,2,1.1
45,2004,5,7,20040507,UYD,0,0,0,1,0.1
46,2004,5,7,20040507,CRS,0,0,0,1,0.1
47,2004,5,7,20040507,DAS,0,0,1,5,0.6
48,2004,5,7,20040507,FAS,0,0,5,11,3.7
49,2004,5,7,20040507,KKS,3,2,2,4,1
50,2004,5,7,20040507,MSS,1,0,7,16,40.7
51,2004,5,8,20040508,MID,0,1,0,2,1.1
52,2004,5,8,20040508,UYD,0,0,0,1,0.1
53,2004,5,8,20040508,CRS,0,0,0,1,0.1
54,2004,5,8,20040508,DAS,0,0,1,5,0.6
55,2004,5,8,20040508,FAS,1,1,5,12,3.8
56,2004,5,8,20040508,KKS,1,0,3,5,2
57,2004,5,8,20040508,MSS,3,5,5,19,42
58,2004,5,10,20040510,MID,0,0,0,2,1.1
59,2004,5,10,20040510,UYD,0,0,0,1,0.1
60,2004,5,10,20040510,CRS,0,0,0,1,0.1
61,2004,5,10,20040510,DAS,0,0,1,5,0.6
62,2004,5,10,20040510,FAS,0,1,5,13,4.3
63,2004,5,10,20040510,KKS,3,4,3,9,4.8
64,2004,5,10,20040510,MSS,1,1,4,22,42.3
65,2004,5,11,20040511,MID,0,0,0,2,1.1
66,2004,5,11,20040511,UYD,0,0,0,1,0.1
67,2004,5,11,20040511,CRS,0,0,0,1,0.1
68,2004,5,11,20040511,DAS,0,0,0,5,0.6
69,2004,5,11,20040511,FAS,0,0,5,13,4.3
70,2004,5,11,20040511,KKS,1,2,2,10,4.9
71,2004,5,11,20040511,FAS,0,1,2,13,4.3
72,2004,5,12,20040512,MID,0,0,0,2,1.1
73,2004,5,12,20040512,UYD,0,0,0,1,0.1
74,2004,5,12,20040512,CRS,0,0,0,1,0.1
75,2004,5,12,20040512,DAS,0,0,0,5,0.6
76,2004,5,12,20040512,FAS,0,0,5,13,4.3
77,2004,5,12,20040512,KKS,0,0,2,10,4.9
78,2004,5,12,20040512,MSS,0,0,2,22,42.3
79,2004,5,13,20040513,MID,0,0,0,2,0.1
80,2004,5,13,20040513,UYD,0,0,0,1,0.1
81,2004,5,13,20040513,CRS,1,1,0,2,0.2
82,2004,5,13,20040513,DAS,0,0,0,5,0.6
83,2004,5,13,20040513,FAS,0,0,5,13,4.3
84,2004,5,13,20040513,KKS,1,1,2,11,5.3
85,2004,5,13,20040513,MSS,0,0,3,22,42.3
86,2004,5,14,20040514,MID,0,0,0,2,1.1
87,2004,5,14,20040514,UYD,0,0,0,1,0.1
88,2004,5,14,20040514,CRS,0,0,0,2,0.2
89,2004,5,14,20040514,DAS,0,0,0,5,0.6
90,2004,5,14,20040514,FAS,0,1,4,13,4.3
91,2004,5,14,20040514,KKS,1,1,2,12,5.5
92,2004,5,14,20040514,MSS,0,0,3,22,42.3
93,2004,5,15,20040515,MID,0,0,0,2,1.1
94,2004,5,15,20040515,UYD,0,0,0,1,0.1
95,2004,5,15,20040515,CRS,1,0,1,3,30.2
96,2004,5,15,20040515,DAS,0,0,0,5,0.6
97,2004,5,15,20040515,FAS,1,0,5,14,4.4
98,2004,5,15,20040515,KKS,0,1,1,12,5.5
99,2004,5,15,20040515,MSS,0,0,3,22,42.3
100,2004,5,17,20040517,MID,0,0,0,3,1.2
101,2004,5,17,20040517,UYD,0,0,0,1,0.1
102,2004,5,17,20040517,CRS,0,0,1,3,70.2
103,2004,5,17,20040517,DAS,1,1,0,6,18.6
104,2004,5,17,20040517,FAS,0,2,3,15,4.5
105,2004,5,17,20040517,KKS,1,1,1,13,5.6
106,2004,5,17,20040517,MSS,2,2,2,25,42.6
107,2004,5,18,20040518,MID,0,0,0,2,1.1
108,2004,5,18,20040518,UYD,0,0,0,1,0.1
109,2004,5,18,20040518,CRS,0,0,1,3,70.2
110,2004,5,18,20040518,DAS,0,0,0,6,18.6
111,2004,5,18,20040518,FAS,1,2,2,16,4.6
112,2004,5,18,20040518,KKS,0,0,1,13,5.5
113,2004,5,18,20040518,MSS,1,1,2,26,42.7
114,2004,5,19,20040519,MID,0,0,0,3,1.2
115,2004,5,19,20040519,UYD,0,0,0,1,0.1
116,2004,5,19,20040519,CRS,0,0,1,3,70.2
117,2004,5,19,20040519,DAS,0,0,0,6,18.6
